,_Collision Id,Borough Name,_Casualty Count,_Casualty Severity,Collision Location,Latitude,Longitude
7952,1240512269,Redbridge,1.0,Slight,"On Tanners Lane, 46 Metres East Of The Junction With Cranbourne Gardens.",51.5877563567314,0.08447867288929355
7953,1240512270,Newham,1.0,Slight,"On Plashet Grove, Near The Junction With Wyndham Road.",51.53740678533612,0.03994084748234498
7954,1240512271,Greenwich,1.0,Slight,"On Eltham Road, Near The Junction With A2213.",51.45352925633406,0.02606619796568213
7955,1240512272,Harrow,1.0,Slight,"On Rose Bates Drive, Near The Junction With Honeypot Lane.",51.588867207998234,-0.2834165959407349
7956,1240512274,Hillingdon,1.0,Slight,"On A30 Great South West Road, Near The Junction With Faggs Road.",51.46665134786695,-0.42224430550923964
7957,1240512279,Southwark,1.0,Slight,"On Camberwell Road , 50 Metres South Of The Junction With Bowyer Place.",51.478548583064345,-0.09415606659024683
7958,1240512280,Westminster,1.0,Slight,"On Deanery Street, Near The Junction With Tilney Street.",51.50711551001264,-0.1518728721076857
7959,1240512282,Westminster,1.0,Slight,"On Hall Road, Near The Junction With Hamilton Terrace .",51.52934286900152,-0.1799223771505324
7960,1240512288,Waltham Forest,1.0,Serious,"On Waltham Way, 50 Metres South Of The Junction With Cherrydown Avenue.",51.61987006452086,-0.025314140026983543
7961,1240512289,Newham,1.0,Serious,"On Barking Road, 60 Metres East Of The Junction With Barking Road. (Location Uncertain)",51.5221323006998,0.02204641602314429
7962,1240512293,Enfield,1.0,Slight,"On The Larches, 30 Metres South Of The Junction With Firscroft.",51.62280014034089,-0.0915559904598757
7963,1240512295,Richmond-Upon-Thames,1.0,Slight,"On Lower Richmond Road, Near The Junction With Ship Lane.",51.46945810797741,-0.26873815337940443
7964,1240512296,Southwark,1.0,Slight,"On Straker'S Road, Near The Junction With Car Park.",51.458712125033934,-0.06132708489574353
7965,1240512297,Lambeth,1.0,Slight,"On Flodden Road, Near The Junction With Calais Road.",51.47412923465655,-0.10056097065840804
7966,1240512298,Brent,1.0,Slight,"On Montpelier Rise, 50 Metres South Of The Junction With Montpelier Rise.",51.56996565179183,-0.3050805784888626
7967,1240512299,Lewisham,1.0,Slight,"On Deptford Broadway, Near The Junction With Harton Street.",51.47458379517405,-0.024668566965799294
7968,1240512300,Lambeth,3.0,Serious,"On Albert Embankment, Near The Junction With Vauxhall Gyratory.",51.48646559539527,-0.12392957825565207
7969,1240512301,Waltham Forest,2.0,Slight,"On Billet Roundabout Slip Road , Near The Junction With Chingford Road .",51.60043883189763,-0.014215458725956339
7970,1240512303,Hackney,1.0,Slight,"On Englefield Road, Near The Junction With Culford Road.",51.542837293672115,-0.08152031788320423
7971,1240512304,Barnet,1.0,Slight,"On The Broadway, 71 Metres East Of The Junction With Mill Way.",51.61457723308792,-0.24759365872840494
7972,1240512305,Hackney,1.0,Serious,"On Downs Road, Near The Junction With Rendlesham Road.",51.55548224180592,-0.06572608468580474
7973,1240512306,Redbridge,1.0,Serious,"On Aldborough Road South, 100 Metres East Of The Junction With Selwyn Avenue.",51.57539689878634,0.10030803650372129
7974,1240512307,Southwark,1.0,Slight,"On Croxted Road, 33 Metres South Of The Junction With Glazebrook Rd.",51.43864641705898,-0.09183186005682897
7975,1240512310,Southwark,1.0,Slight,"On Asylum Road, Near The Junction With Old Kent Road / Devonshire Grove.",51.48070780806923,-0.05967434311114144
7976,1240512311,Harrow,2.0,Slight,"On Sudbury Hill, Near The Junction With Greenford Road.",51.561759941110765,-0.3317295043841018
7977,1240512312,Haringey,1.0,Slight,"On West Road, Near The Junction With Brantwood Road.",51.60782380722844,-0.05678650640073343
7978,1240512315,Haringey,1.0,Slight,"On High Road, Near The Junction With Landsdowne Road N17.",51.59838728336732,-0.06801870877743924
7979,1240512316,Kensington & Chelsea,1.0,Serious,"On Kensal Road, Near The Junction With East Row.",51.52598077541061,-0.20920552169526455
